document_id,set,character_name,character_type,unit_quality_score
1018e3c62be5282766498f283ccff5364232d5c9,train,Chad,Villain/Antagonist,0.31492662770866797
1018e3c62be5282766498f283ccff5364232d5c9,train,Elena,Hero,0.301370772626763
1018e3c62be5282766498f283ccff5364232d5c9,train,Jay,Villain/Antagonist,0.383702599664569
1018e3c62be5282766498f283ccff5364232d5c9,train,Kristen,Hero,0.0
1018e3c62be5282766498f283ccff5364232d5c9,train,Marie,Supporting role character of Hero,0.0
1018e3c62be5282766498f283ccff5364232d5c9,train,Morrison,Sidekick of Hero,0.0
b5155a0968b2822729334593887964832ae7baf8,test,Brooks,Supporting role character of Hero,0.0
b5155a0968b2822729334593887964832ae7baf8,test,Dave,Supporting role character of Hero,0.0004470214061849341
b5155a0968b2822729334593887964832ae7baf8,test,Estes,Supporting role character of Hero,0.870170256150024
b5155a0968b2822729334593887964832ae7baf8,test,Julie,Hero,0.0004470214061849341
b5155a0968b2822729334593887964832ae7baf8,test,Karla,Supporting role character of Hero,0.8701999250317481
b5155a0968b2822729334593887964832ae7baf8,test,Nancy,Supporting role character of Hero,0.05775333810045993
b5155a0968b2822729334593887964832ae7baf8,test,Ray,Spouse/Partner/Lover of Villain,0.0
b5155a0968b2822729334593887964832ae7baf8,test,Titus,Supporting role character of Hero,0.0
b5155a0968b2822729334593887964832ae7baf8,test,Tyrell,Supporting role character of Hero,0.0
a76dbc1eea8fa77127f492d6ae35223feaed0680,train,Drew,Hero,1.0
a76dbc1eea8fa77127f492d6ae35223feaed0680,train,Gao,Villain/Antagonist,0.33830935360327286
a76dbc1eea8fa77127f492d6ae35223feaed0680,train,Kwan,Supporting role character of Hero,0.33830935360327286
a76dbc1eea8fa77127f492d6ae35223feaed0680,train,Trevor,Supporting role character of Hero,0.0
2f1b4f14181899859c0676745220941269043c15,train,Bridewell,Supporting role character of Hero,0.3476009666504462
2f1b4f14181899859c0676745220941269043c15,train,Filby,Supporting role character of Hero,0.3476009666504462
2f1b4f14181899859c0676745220941269043c15,train,Kemp,Supporting role character of Hero,0.3476009666504462
2f1b4f14181899859c0676745220941269043c15,train,Weena,Sidekick of Hero,0.3156411511512326
13ca364f41095dbeeed3a221848ab637cd2f03dc,train,Beth,Villain/Antagonist,0.0
13ca364f41095dbeeed3a221848ab637cd2f03dc,train,Erica,Supporting role character of Hero,1.0
13ca364f41095dbeeed3a221848ab637cd2f03dc,train,Leroy,Supporting role character of Hero,0.41934898864055103
13ca364f41095dbeeed3a221848ab637cd2f03dc,train,Lily,Sidekick of Hero,0.0
13ca364f41095dbeeed3a221848ab637cd2f03dc,train,Nina,Hero,1.0
1d62d89c46b27632884e6b44ed98d6677d59f84f,test,Carnegie,Villain/Antagonist,1.0
1d62d89c46b27632884e6b44ed98d6677d59f84f,test,Claudia,Supporting role character of Hero,0.3665003833341883
1d62d89c46b27632884e6b44ed98d6677d59f84f,test,Eli,Hero,1.0
1d62d89c46b27632884e6b44ed98d6677d59f84f,test,Engineer,No Applicable Type,0.32566963974960816
1d62d89c46b27632884e6b44ed98d6677d59f84f,test,George,No Applicable Type,0.0
1d62d89c46b27632884e6b44ed98d6677d59f84f,test,Lombardi,Supporting role character of Hero,0.0
1d62d89c46b27632884e6b44ed98d6677d59f84f,test,Martha,No Applicable Type,0.0
1d62d89c46b27632884e6b44ed98d6677d59f84f,test,Solara,Spouse/Partner/Lover of Hero,0.3078299769162035
aba6708b8f5f02dbcabcafba7aec7baf4a93c666,test,Alicia,Spouse/Partner/Lover of Hero,0.3330965154451961
aba6708b8f5f02dbcabcafba7aec7baf4a93c666,test,Ben,Hero,0.0
aba6708b8f5f02dbcabcafba7aec7baf4a93c666,test,Debbie,Spouse/Partner/Lover of Hero,0.0
aba6708b8f5f02dbcabcafba7aec7baf4a93c666,test,Doom,Villain/Antagonist,1.0
aba6708b8f5f02dbcabcafba7aec7baf4a93c666,test,Johnny,Hero,0.0
aba6708b8f5f02dbcabcafba7aec7baf4a93c666,test,Reed,Hero,1.0
aba6708b8f5f02dbcabcafba7aec7baf4a93c666,test,Victor,Villain/Antagonist,1.0
69e1749ff3439d75d1520650cee2e754b336c65f,train,April,Supporting role character of Hero,0.0
69e1749ff3439d75d1520650cee2e754b336c65f,train,Casey,Supporting role character of Hero,0.0
69e1749ff3439d75d1520650cee2e754b336c65f,train,Donatello,Hero,0.02697367069028154
69e1749ff3439d75d1520650cee2e754b336c65f,train,Karai,Supporting role character of Hero,0.9544469118419626
69e1749ff3439d75d1520650cee2e754b336c65f,train,Leonardo,Hero,0.0
69e1749ff3439d75d1520650cee2e754b336c65f,train,Raphael,Hero,0.9544469118419626
69e1749ff3439d75d1520650cee2e754b336c65f,train,Splinter,Mentor,0.0
69e1749ff3439d75d1520650cee2e754b336c65f,train,Winters,Supporting role character of Hero,0.9544469118419626
ee534e669288e5c75d5b8edbe4c60f51777996ac,train,Bodhi,Villain/Antagonist,1.0
ee534e669288e5c75d5b8edbe4c60f51777996ac,train,Grommet,Sidekick of Villain,0.3096043652985985
ee534e669288e5c75d5b8edbe4c60f51777996ac,train,Pappas,Supporting role character of Hero,0.0
ee534e669288e5c75d5b8edbe4c60f51777996ac,train,Roach,Sidekick of Villain,0.3096043652985985
ee534e669288e5c75d5b8edbe4c60f51777996ac,train,Utah,Hero,1.0
dc9f76cc096666e4130d62ad1189069554812d82,train,Cesaire,Villain/Antagonist,0.0
dc9f76cc096666e4130d62ad1189069554812d82,train,Peter,Spouse/Partner/Lover of Hero,0.0015162865019139144
dc9f76cc096666e4130d62ad1189069554812d82,train,Roxanne,Supporting role character of Hero,0.023581510375634593
dc9f76cc096666e4130d62ad1189069554812d82,train,Solomon,Villain/Antagonist,0.0
dc9f76cc096666e4130d62ad1189069554812d82,train,Suzette,Supporting role character of Hero,0.053652874532230846
a26bc396e0080e4cfbfce97805de7af5c0585c9f,train,Ana,Supporting role character of Hero,0.29337765345562355
a26bc396e0080e4cfbfce97805de7af5c0585c9f,train,Breaker,Supporting role character of Hero,0.0
a26bc396e0080e4cfbfce97805de7af5c0585c9f,train,Duke,Hero,1.0
a26bc396e0080e4cfbfce97805de7af5c0585c9f,train,Hawk,Supporting role character of Hero,1.0
a26bc396e0080e4cfbfce97805de7af5c0585c9f,train,President,Supporting role character of Hero,0.0
a26bc396e0080e4cfbfce97805de7af5c0585c9f,train,Ripcord,Sidekick of Hero,0.3330965154451961
a26bc396e0080e4cfbfce97805de7af5c0585c9f,train,Scarlett,Spouse/Partner/Lover of Hero,0.29337765345562355
f690ed7d1b4df099570eb334a1eea4560ff47553,train,Brenda,Supporting role character of Hero,1.0
f690ed7d1b4df099570eb334a1eea4560ff47553,train,Donna,Supporting role character of Hero,0.322206165764171
f690ed7d1b4df099570eb334a1eea4560ff47553,train,Ed,Sidekick of Hero,0.322206165764171
f690ed7d1b4df099570eb334a1eea4560ff47553,train,Erin,Hero,1.0
caf5fd973848f97d2f87b3360c04b94295b195c0,test,Emma,Spouse/Partner/Lover of Villain,0.39657281638917447
caf5fd973848f97d2f87b3360c04b94295b195c0,test,Jane,Supporting role character of Hero,0.0
caf5fd973848f97d2f87b3360c04b94295b195c0,test,Jesse,Supporting role character of Hero,0.0
caf5fd973848f97d2f87b3360c04b94295b195c0,test,Marshall,Sidekick of Villain,0.0
caf5fd973848f97d2f87b3360c04b94295b195c0,test,Sheila,Supporting role character of Hero,0.31147940144908265
c267a4c7726d7310bef4c5f83e0019e1188d3163,train,Beth,Supporting role character of Hero,0.0
c267a4c7726d7310bef4c5f83e0019e1188d3163,train,Buck,Supporting role character of Hero,0.0
c267a4c7726d7310bef4c5f83e0019e1188d3163,train,Calvin,Supporting role character of Hero,0.0
c267a4c7726d7310bef4c5f83e0019e1188d3163,train,Conrad,Hero,0.8702780937818294
c267a4c7726d7310bef4c5f83e0019e1188d3163,train,Jeannine,Spouse/Partner/Lover of Hero,0.0
c267a4c7726d7310bef4c5f83e0019e1188d3163,train,Karen,Supporting role character of Hero,1.0
