document_id,set,script_url,script_file_size,script_word_count,script_start,script_end,wiki_url,wiki_title
1018e3c62be5282766498f283ccff5364232d5c9,train,http://www.imsdb.com/scripts/Wild-Things-Diamonds-in-the-Rough.html,0,,,,http://en.wikipedia.org/wiki/Wild_Things:_Diamonds_in_the_Rough,Wild Things: Diamonds in the Rough
b5155a0968b2822729334593887964832ae7baf8,test,http://www.imsdb.com/Movie%20Scripts/I%20Still%20Know%20What%20You%20Did%20Last%20Summer%20Script.html,0,,,,https://en.wikipedia.org/wiki/I_Still_Know_What_You_Did_Last_Summer,I Still Know What You Did Last Summer
a76dbc1eea8fa77127f492d6ae35223feaed0680,train,http://www.imsdb.com/scripts/American-Shaolin-King-of-Kickboxers-II.html,0,,,,http://en.wikipedia.org/wiki/American_Shaolin,American Shaolin
2f1b4f14181899859c0676745220941269043c15,train,http://www.imsdb.com/scripts/Time-Machine%2C-The.html,0,,,,http://en.wikipedia.org/wiki/The_Time_Machine_(1960_film),The Time Machine (1960 film)
13ca364f41095dbeeed3a221848ab637cd2f03dc,train,http://www.imsdb.com/scripts/Black-Swan.html,0,,,,http://en.wikipedia.org/wiki/Black_Swan_(film),Black Swan
1d62d89c46b27632884e6b44ed98d6677d59f84f,test,http://www.imsdb.com/scripts/Book-of-Eli%2C-The.html,0,,,,http://en.wikipedia.org/wiki/The_Book_of_Eli,The Book of Eli
aba6708b8f5f02dbcabcafba7aec7baf4a93c666,test,http://www.imsdb.com/scripts/Fantastic-Four.html,0,,,,http://en.wikipedia.org/wiki/Fantastic_Four_(2005_film),Fantastic Four (2005 film)
69e1749ff3439d75d1520650cee2e754b336c65f,train,http://www.imsdb.com/scripts/TMNT.html,0,,,,http://en.wikipedia.org/wiki/TMNT_(film),TMNT
ee534e669288e5c75d5b8edbe4c60f51777996ac,train,http://www.awesomefilm.com/script/pointbreak.html,0,,,,http://en.wikipedia.org/wiki/Point_Break_(2015_film),Point Break (2015 film)
dc9f76cc096666e4130d62ad1189069554812d82,train,http://www.imsdb.com/Movie%20Scripts/Red%20Riding%20Hood%20Script.html,0,,,,https://en.wikipedia.org/wiki/Red_Riding_Hood_(2011_film),Red Riding Hood (2011 film)
